"MUNICÍPIO","NOME DA BIBLIOTECA","VÍNCULO","ENDEREÇO","BAIRRO","TELEFONE","E-MAIL"
"Cotriguaçu","Biblioteca Pública Municipal Construindo Conhecimento","Municipal","Rua José de Amorim, 17","Centro","(66) 3555-1070","culturacotricuacu.smec@hotmail.com"
"Cuiabá","Biblioteca Pública Municipal Manoel Cavalcante Proença","Municipal","Rua Barão de Melgaço, 3.677","Centro","(65) 3617-1260 / (65) 3617-1261","jcamlsa100@hotmail.com"
"","Biblioteca Pública Estadual Estevão de Mendonça","Estadual","Rua Antonio Maria, 151","Centro","(65) 3613-9233 / (65) 3613- 9235 / (65) 3613- 9240 "," bibliotecaestadual@cultura.mt.gov.br  "
"Curvelândia","Biblioteca Pública Municipal Maria Silvina Nunes da Silva","Municipal","Avenida Maria, s/n","Centro","(65) 3273-1301","sme@curvelandia.mt.gov.br"
"Denise","Biblioteca Pública Municipal Luz do Saber","Municipal","Avenida Júlio Campos, s/n","Jardim Boa Esperança","(65) 9903-6784","ozana_figuereido@hotmail.com"
"Diamantino","Biblioteca Pública Municipal Monteiro Lobato","Municipal","Rua Almirante Batista das Neves, 333","Centro","(65)3336-2968","denysebarros_@hotmail.com"
"Feliz Natal","Biblioteca Pública Municipal Dante Martins de Oliveira","Municipal","Rua Francisco de Oliveira Caldeira, s/n","Centro","(66) 3585-1866","smec_fn_2009@hotmail.com"
"Figueirópolis D'Oeste","Biblioteca Pública Municipal Izodino Eduardo de Souza","Municipal","Rua São Paulo, 260","Centro","(65) 3235-1245","smefigue@hotmail.com"
"Gaúcha do Norte","Biblioteca Pública Municipal Monteiro Lobato","Municipal","Rua Cascavel, 250","Centro","(66) 3552-3281","culturagnt@hotmail.com"
"General Carneiro","Biblioteca Pública Municipal Major Catarino","Municipal","Rua João Eduardo, 292","Centro","(66) 3416-1056","susiqwe@hotmail.com.com"
"Glória D'Oeste","Biblioteca Pública Municipal Prof. Cicero Barbosa da Silva","Municipal","Rua Juliano Mateus, s/n","Centro","(65) 3275-1225","nilza_megg.@hotmail.com"
"Guarantã do Norte","Biblioteca Pública Municipal de Guarantã do Norte","Municipal","Rua Pedros, s/n","Centro","(66) 3552-3281","reducaogta.@gmail.com"
"Guiratinga","Biblioteca Pública Municipal Padre Santo Cornélio Faresin","Municipal","Rua João Pessoa, 1.122","Centro","(66) 3431-3021","sec-cultura@hotmail.com"
"Indiavaí","Biblioteca Pública Municipal de Indiavai - Amigos da Biblioteca","Municipal","Rua Barão do Rio Branco, s/n","Centro","(65)3254-1212","educ_indiavai@hotmail.com"
"Ipiranga do Norte","Biblioteca Pública Municipal Ipiranga do Norte","Municipal","Rua Solimões, s/n","Centro","(66) 3588-1596","smecip@hotmail.com"
"Itanhangá","Biblioteca Pública Municipal Monteiro Lobato","Municipal","Rua das Flores, s/n","Centro","","deisecris@hotmail.com;secbl.pref.2013@gmail.com"
"Itaúba","Biblioteca Pública Municipal Monteiro Lobato","Municipal","Rua Madre Barbosa Max, 889","Centro","","educacao@itauba.mt.gov.br"
"Itiquira","Biblioteca Pública Municipal Alvaro Castilho Branco","Municipal","Avenida Adelino de Souza Campos, 404","Centro","(65) 3491-1065","educa@itiquira.mt.gov.br"
"Jaciara","Biblioteca Pública Municipal Geraldo Gomes Faria","Municipal","Rua Itararé, 1.353","Centro","(65) 3461-5785","secretariaeducacao@jaciara.mt.gov.br"
"Jangada","Biblioteca Pública Municipal Luiz Antônio Bernardino de Souza","Municipal","Rua Ramires Mendes, s/n","Centro","(65) 9931-3869","tonyjunior_morato@hotmail.com"
"Juara","Biblioteca Pública Municipal Rubert Arantes Abdalla","Municipal","Avenida José Alves Bezerra, 411N","Centro","(66) 3256-1819","guantalinze@hotmail.com"
"Juína","Biblioteca Pública Municipal Professora Maria Santana","Municipal","Avenida dos Jambos, s/n","Centro","(66) 3566-2915","cultuajuina@hotmail.com;magillyrenatta@hotmail.com"
"Juruena","Biblioteca Pública Municipal Monteiro Lobato","Municipal","Travessa Independencia","Centro","(66) 3553-1442","biel_cortoneze@hotmail.com"
"Lambari D'Oeste","Biblioteca Publica Municipal de Lambari D' Oeste","Municipal","Rua Sitrolandia, s/n","Centro","(65) 9945-5302","luisamartinscruz@hotmail.com"
"Lucas do Rio Verde","Biblioteca Pública Municipal Monteiro Lobato","Municipal","Avenida São Paulo, 363","Bairro Cidade Nova","(65) 3549-2512","laicecgr@terra.com.br"
"Luciara","Biblioteca Pública Municipal de Luciara","Municipal","Rua Delzimar Viana Barros","Centro","(66) 8403-8894","sandra.luciaravisi@hotmail.com"
"Marcelândia","Biblioteca Pública Municipal Dias Gomes","Municipal","Rua Karumã, 62","Centro","(65) 9690-8124","edvan.felix@hotmail.com"
"Matupá","Biblioteca Pública Municipal de Matupá","Municipal","Rua Luiz Mena, Praça do Imigrante","Centro","(66) 3536-2188","grasielabarros@hotmail.com"
"Mirassol D'Oeste","Biblioteca Pública Municipal Deputado Airton Reis","Municipal","Rua Paulo Mendonça, 402","Praça Ataide Pereira Leite","(65) 9918-8312","smec@morassoldoeste.mt.gov.br;ellysregin@hotmail.com"
"Nobres","Biblioteca Pública Municipal Regina Joana Ecker","Municipal","Avenida Felinto Muller, 1.140","Centro","(65) 3376-2658","biblimn88@gmail.com"
"Nortelândia","Biblioteca Pública Municipal Drumond de Andrade","Municipal","Rua Nicolau Gomes de Souza, s/n","Novo Horizonte","(65) 3346-1493","culturaeducação@nortelandia.mt.gov.br"
"Nossa Srª do Livramento","Biblioteca Pública Municipal Cilo Torres Seixas","Municipal","Avenida Coronel Botelho, s/n","Centro","(65) 3351-1200","liliane-mattos@hotmail.com"
"Nova Bandeirantes","Biblioteca Pública Municipal Ernesto Neiverth","Municipal","Avenida Lazaro Moreira dos Santos, s/n","Centro","(66) 5372-1082","sandroroberto_nd@hotmail.com"
"Nova Brasilândia","Biblioteca Pública Municipal Rosa de Campos","Municipal","Rua Cristiano Pereira da Silva","Centro","(66) 3385-1277","educanovab@hotmail.com"
"Nova Canaã do Norte","Biblioteca Pública Municipal Portal do Saber","Municipal","Avenida Paraná, 108","Centro","","bibliportalsabercanaa@yahoo.com.br"
"Nova Guarita","Biblioteca Pública Municipal Dom Canísio Klaus","Municipal","Avenida dos Imigrantes, s/n","Centro","(66) 3574-1412","ivete_souza2011@hotmail.com"
"Nova Lacerda","Biblioteca Pública Municipal Lucilena Furtado Matos","Municipal","Antonio Carlos do Amaral 2.300","Centro","(65) 3259-4100","esmec.nl@bol.com.br"
"Nova Marilândia","Biblioteca Pública Municipal Angelina da Silva","Municipal","Rua Acre, s/n","Centro","(65) 3352-1187","sec.educacao.n.m@hotmail.com"
"Nova Maringá","Biblioteca Pública Municipal Solange Félix da Silva","Municipal","Rua Eugênio Braga, s/n","Centro","(66) 3537-1171","invanisouza2014@hotmail.com"
"Nova Monte Verde","Biblioteca Pública Municipal Osvaldo Lores Failde","Municipal","Rua Manoel Rodrigues de Souza, 81","Centro","(66) 3597-2831","soniaalicesilveira@hotmail.com"
"Nova Mutum","Biblioteca Pública Municipal Hilda Straenger Ribeiro","Municipal","Flaboyats, s/n","Centro","(66) 9966-1697","culturamutum@gmail.com"
"Nova Nazaré","Biblioteca Pública Municipal Lúcia Campos","Municipal","Avenida Jorge Amado, s/n","Centro","(66) 9248-6333","bibliotecamunicipalluciacampos@hotmail.com"
"Nova Olímpia","Biblioteca Pública Municipal Belizário de Almeida","Municipal","Rua Olacir de Moraes. 373 - S","Ouro Verde","(65) 9978-9985","aracigaucha@hotmail.com"
"Nova Santa Helena","Biblioteca Pública Municipal José Alves Gouvea","Municipal","Avenida Byron Ortiz de Araujo","Centro","",""
"Nova Ubiratã","Biblioteca Pública Municipal Nova Ubiratã","Municipal","Avenida Tancredo Neto, 1.401","Centro","(66) 3579-1736","bibliotecapublicanovaubirata@hotmail.com"
"Nova Xavantina","Biblioteca Pública Municipal Padre Arantes do Nascimento","Municipal","Vereador, s/n","Centro","(66) 9621-9321","bibliotecanx@yahoo.com.br"
"Novo Horizonte do Norte","Biblioteca Pública Municipal Novo Horizonte do Norte","Municipal","Avenida Kara José, 395","Centro","(66) 3559-1285","medeiroscnh@gmail.com"
"Novo Mundo","Biblioteca Pública Municipal Castro Alves","Municipal","Travessa Alves Silva, s/n","Centro","(66) 3539-6073","secretariaeducacao.nm@hotmail.com"
"Novo Santo Antônio","Biblioteca Pública Municipal Minervino Pinto","Municipal","Avenida José Brito, s/n","Centro","(66) 8438-1642","dianarmoura@gmail.com"
"Novo São Joaquim","Biblioteca Pública Municipal Evanildes Barbosa de Souza","Municipal","Rua Jordelirio Cabral de Melo, s/n","Boa Esperança","",""
"Paranaíta","Biblioteca Pública Municipal Tsunepo Tsuneo Miyazima","Municipal","Rua João Lopo de Souza, s/n","Centro","(66) 3563-1612","bibliotecatsuneo@gmail.com"
"Paranatinga","Biblioteca Pública Municipal Machado de Assis","Municipal","Avenida Bandeirantes","Centro","(66) 3573-1331","educ.btga@hotmail.com"
"Pedra Preta","Biblioteca Pública Municipal Josefina Giroldo Orlato","Municipal","Rua Frei Servacio, s/n","","(66) 9612-8987","compras-pedrapreta@hotmail.com"
"Peixoto de Azevedo","Biblioteca Pública Municipal Rubem Alves","Municipal","Avenida Brasil, s/n","Centro","(66) 3575-1530","jadaiton.sapao@hotmail.com"
"Planalto da Serra","Biblioteca Pública Municipal Monteiro Lobato","Municipal","Avenida Santo Angelo, s/n","Centro","(66) 8426-89-20","bibliotecaplanalto2@hotmail.com"
"Poconé","Biblioteca Pública Municipal Dom Luiz Galibert","Municipal","Rua Tiradentes, s/n","Centro","(65) 3345-3009","elizetmorgana@hotmail.com"
"Pontal do Araguaia","Biblioteca Pública Municipal de Pontal do Araguaia","Municipal","Rua Padre Teixeira, s/n","Área de Tal","(66) 9222-6614",""
"Ponte Branca","Biblioteca Pública Municipal Professor José Martins da Silva","Municipal","Rua Gerson Ribeiro Moura, s/n","Centro","(66) 3466-1358","raulseixas2@hotmail.com"
"Pontes e Lacerda","Biblioteca Pública Municipal Silva Pontes","Municipal","Avenida Municipal, 7.108-A","Centro","(65) 9605-0433","kaka.sguras@hotmail.com;bibliotecasilvapontes@bol.com.br"
"Porto Alegre do Norte","Biblioteca Pública Municipal de Porto Alegre do Norte Uma Ideia Cheia de Id","Municipal","Rua Tocatins, s/n","Centro","(66) 8409-1257","sec.mmunicipan@hotmail.com"
"Porto dos Gaúchos","Biblioteca Pública Municipal Abrigo da Leitura","Municipal","Avenida Diamantino, 870","Centro","","bibli.abrigodaleitura@hotmail.com"
"Porto Estrela","Biblioteca Pública Municipal de Porto Estrela","Municipal","Avenida José Antonio de Farias, s/n","Centro","(65) 3384-1160","educacao@portoestrela.mt.gov.br"
"Poxoréo","Biblioteca Pública Municipal Enio Milton Duarte","Municipal","","","(66) 9998-1897","semecpox@gmail.com"
"Primavera do Leste","Biblioteca Pública Municipal Carlos Drummond de Andrade","Municipal","Avenida Cuiabá, s/n","Centro","(66) 3498-3321","denisebb31@hotmail.com"
"Querência","Biblioteca Pública Municipal Fonte do Aprendiz","Municipal","Avenida Mato Grosso, s/n","Centro","(66) 3529-1218","bibliotecafontedoaprendiz@hotmail.com"
"Reserva do Cabaçal","Biblioteca Pública Municipal Reserva do Cabaçal","Municipal","Avenida Rio Branco, 141","Cidade Alta","(65) 3247-1074","nei18rosinei@hotmail.com"
"Ribeirão Cascalheira","Biblioteca Pública Municipal Castro Alves","Municipal","Avenida Padre João Bosco, s/n","Centro","(66) 9604-3284","kari-e-lli@hotmail.com"
"Ribeirãozinho","Biblioteca Pública Municipal de Ribeirãozinho","Municipal","São João, s/n","Centro","(66) 3415-1402","silvani.ms@gmail.com"
"Rio Branco","Biblioteca Pública Municipal Cecilia Meireles","Municipal","Rua Independencia, 90","Centro","(65) 8119-3453","turismo@riobranco.mt.gov.br"
"Rondolândia","Biblioteca Pública Municipal Professora Aurineide Alves Macedo de Souza Lei","Municipal","Surui, s/n","Centro","(66) 3542-1092","semec2000@yahoo.com.br"
"Rondonópolis","Biblioteca Pública Municipal Manoel Severino da Silva","Municipal","Felinto Muller, 1.131","Vila Operária","(66) 3411-5173","mfreitaslima@hotmail.com"
"Não identificado","Biblioteca Pública Municipal Rachid J. Mamede","Municipal","Avenida Cuiabá, 792","Centro","",""
"Rosário Oeste","Biblioteca Pública Municipal Antônio Tolentino de Almeida","Municipal","Praça Manoel Loureiro, 73","Centro","(65) 3356-1761","fundaçãorosario@hotmail.com"
"Salto do Céu","Biblioteca Pública Municipal Paulo Freire","Municipal","Rua Espirito Santo, s/n","Centro","(65) 3233-1299","sme_sceu@hotmail.com"
"Santa Carmem","Biblioteca Pública Municipal Espaço do Saber","Municipal","Avenida Getulio Vargas, s/n","Centro","",""
"Santa Cruz do Xingu","Biblioteca Pública Municipal Maria Lucreia Rocha","Municipal","Rua Luis Savela, s/n","Centro","(66) 8409-5861","sme-scx@hotmail.com"
"Santa Rita do Trivelato","Biblioteca Pública Municipal Preparando para o Futuro","Municipal","Avenida Flavio Luiz, 2.261","Centro","(65) 3529-6161","maria_zaffari@hotmail.com"
"Santa Terezinha","Biblioteca Pública Municipal Padre Francisco Gentil","Municipal","Rua 25, s/n","Centro","(66) 3558-1406","smec.stz@hotmail.com"
"Santo Afonso","Biblioteca Pública Municipal Marechal Cândido Rondon","Municipal","Avenida Bandeira, s/n","Centro","",""
"Santo Antônio do Leste","Biblioteca Pública Municipal Machado de Assis","Municipal","Rua 02 de Julho, s/n","Centro","(66) 9204-6493","suzibrunetta@hotmail.com"
"Santo Antônio do Leverger","Biblioteca Pública Municipal Marechal Cândido Mariano da Silva Rondon","Municipal","Praça da Bandeira, s/n","Centro","(65) 3341-1060","culturaleverger@gmail.com"
"São Félix do Araguaia","Biblioteca Pública Municipal Erotildes da Silva Milhomem","Municipal","Avenida  Araguaia, s/n","Centro","(66) 3522-1004","smessa@hotmail.com"
"São José do Povo","Biblioteca Pública Municipal Maria Nogueira de Azevedo","Municipal","Rua José Salmem, s/n","Centro","",""
"São José do Rio Claro","Biblioteca Pública Municipal Dom Aquino","Municipal","Rua Acre,s/n","Centro","",""
"São José do Xingu","Biblioteca Pública Municipal Maria Lucrécia","Municipal","Avenida Principal, s/n","Centro","",""
"São José dos 4 Marcos","Biblioteca Pública Municipal Aneir Gonçalves Ferreira","Municipal","Avenida Sergipe, 940","Centro","",""
"São Pedro da Cipa","Biblioteca Pública Municipal Marielza Medeiros","Municipal","Avenida Presidente Vargas, s/n","Centro","",""
"Sapezal","Biblioteca Pública Municipal Centro do Saber","Municipal","Avenida André Antonio Maggi, s/n","Centro","(65) 3383-2233","biblioteca@sapezal.mt.gov.br"
"Serra Nova Dourada","Biblioteca Pública Municipal Maria Zelma Rodrigues Correa","Municipal","Avenida Sublime, s/n","Centro","(66) 8443-7895","neliavieiradefreitas@hotmail.com"
"Sinop","Biblioteca Pública Municipal Professora Regina Helena B. Morgatto","Municipal","Avenida Júlio Campos, 1.124","Centro","(66) 3511-1940","bibliotecamunicipalsinop@hotmail.com"
"Sorriso","Biblioteca Pública Municipal Monteiro Lobato","Municipal","Avenida Natalino João Brescansi, 1.220","Centro","(66) 3544-5648","bibliotecapublica@hotmail.com"
"Não identificado","Biblioteca Pública do CEU das Artes","Municipal","Rua Passo Fundo, lote 16, 17, 18 quadra 8","Centro","(66) 3545-4700 / (66) 3545-4725 / (66) 3544-8800",""
"Tabaporã","Biblioteca Pública Municipal de Tabaporã Dra. Andréia de C. P. Furtado","Municipal","Avenida Comandante José Pedro Dias, s/n","Centro","(66) 3557-1611","tabaporasemec@hotmail.com"
"Tangará da Serra","Biblioteca Pública Municipal Viviane Costa dos Santos Ferro","Municipal","Avenida Brasil, 377 - E","Centro","(65) 3311-5130","biblioteca@tangaradaserra.mt.gov.br"
"Tapurah","Biblioteca Pública Municipal de Tapurah","Municipal","Avenida Romualdo Alliza, 95","Centro","(66) 9608-6049","angela.mariab@hotmail.com"
"Terra Nova do Norte","Biblioteca Pública Municipal Professora Alcy Assunta Ceresole","Municipal","Avenida Noberto Schwants,s/n","Centro","(66) 3534-1363","marli.shirmer@hotmail.com"
"Torixoréu","Biblioteca Pública Municipal Professor Pedro Alberto Reisdorfer","Municipal","Rua 15 de Novembro, s/n","Centro","(66) 3406-1594","smeducacao@ibest.com.br"
"União do Sul","Biblioteca Pública Municipal União do Sul","Municipal","Joatabo , 46","Centro","(66) 3540-1369","marquinho.uds26@hotmail.com"
"Vale de São Domingos","Biblioteca Pública Municipal Professor Sílvio Antônio Dias","Municipal","Rua Oronato Avenboja, s/n","Centro","(65) 9801-7381","gelzasocial@gmail.com"
"Vera","Biblioteca Pública Municipal Nilza de Oliveira Pepino","Municipal","Avenida Padre Antonio, s/n","Centro","(66) 3583-2455","secretariaedepartamento@hotmail.com"
"Vila Bela da Ss.Trindade","Biblioteca Pública Municipal Dom Antônio Rolim de Moura","Municipal","Rua Pouso Alegre, s/n","Centro","",""
"Vila Rica","Biblioteca Pública Municipal Antídia Coutinho","Municipal","Avenida Brasil, s/n","Centro","(66) 8448-5021","alcidespsb@gmail.com"
