"MUNICÍPIO","NOME DA BIBLIOTECA","VÍNCULO","ENDEREÇO","BAIRRO","TELEFONE","E-MAIL"
"Beberibe","Biblioteca Pública Municipal Professor Dido Facó","Municipal","Rua General Facó, 429","Centro","(85)99696-0844","tati.mmm.aguiar@gmail.com"
"Bela Cruz","Biblioteca Pública Municipal Professor Nicácio","Municipal","Rua São Vicente 969 s/n","Centro","(88)99634-2951/99649-3935","bibliotecaprofessornicacio@gmail.com gracinhacharley989@gmail.com"
"Boa Viagem","Biblioteca Pública Municipal Venceslau Vieira Batista","Municipal","Rua Antônio Queiroz, 367","Centro","(85) 99626-7183 / 99979-2939 /98837-7584","andrea.a.sc@hotmail.com/ secretariadeculturadeboaviagem@gmail.com /claudettecarvalho@hotmail.com"
"Brejo Santo","Biblioteca Pública Municipal Reitor Fernando Leite","Municipal","Rua Luiz Gonzaga Junior, 104","Centro","(88) 99866-7496 / 3531-0892 / 3531-1435","drmiranbasilioadv@gmail.com"
"Camocim","Biblioteca Pública Municipal Pinto Martins","Municipal","Rua 24 de maio s/n","Centro","(88) 3621-1615","secultcamocimce@gmail.com /nelitab2011@hotmail.com
"
"Campos Sales","Biblioteca Pública Municipal de Campos Sales","Municipal","Rua João Severo Cortez, 1381","Centro","(88) 99694-1990 /99858-5565/ 99300-2316","bibliomuncs@gmail.com /wilton.leite@gmail.com"
"Canindé","Biblioteca Pública Municipal Cruz Filho","Municipal","Praça da Basílica, 60","Centro","(85) 98874-0305 / 98972-0647 / 99968-8572","bibliotecacruzfilho@hotmail.com/ annecristiane@yahoo.com.br"
"Caridade","Biblioteca Pública Municipal de Caridade","Municipal","Rua Gabriel Santiago s/n","Centro","(85) 99171-9138","matheusfcaridade@hotmail.com/ bibliotecamunicipaldecaridade@outlook.com"
"Cariré","Biblioteca Pública Municipal Antônio  Adrião da Silveira","Municipal","Rua Belarmina Rodrigues, s/n","Centro","(88) 99702-7035","marco-cello@hotmail.com bibliotecapmc18@gmail.com"
"Caririaçu","Biblioteca Pública Municipal Rosa Vieira de Oliveira","Municipal","Rua  Luís Rolim, s/n","Centro","(88) 99900-7867","margarethsp@gmail.com bibliotecarosavieira@gmail.com"
"Cariús","Biblioteca Pública Municipal Anita de Aquino Medeiros","Municipal","Rua Raul Nogueira, 02","","(88) 99850-1066","wellkasus@gmail.com"
"Carnaubal","Biblioteca Pública Municipal Terezinha Chaves Nogueira","Municipal","Avenida Paulo Sarazate  s/n","Centro","(88) 99672-6763  / 99634-2922 / 99707-2373","portalcarnaubal@hotmail.com/ secretariaseturcarnaubal@outlook.com"
"Cascavel","Biblioteca Pública Municipal Antônio Luís Marcelo Antunes","Municipal","Rua Francisco Galdino de Sousa, 2324","Centro","(88) 8779-8697","pauullusufc@yahoo.com.br"
"Catarina","Biblioteca Pública Municipal Professora M. Alzira Rua de Albuquerque","Municipal","Osterno Feitosa, 33","Pedreiras","(88) 98805-9310 / 99987-9613","rodriguesademar@hotmail.com /elkson-02@hotmail.com"
"Catunda","Biblioteca Pública Municipal de Catunda","Municipal","Rua João Carlos de Oliveira, 746","Centro","(88) 99412-7672 / 99282-9727","secult_catunda17@hotmail.com /jackvidal@hotmail.com /marlonbuterfly@hotmail.com"
"Caucaia","Biblioteca Pública Municipal Professor Martins de Aguiar","Municipal","Rua Presidente Getúlio Vargas, 521","Centro","(85) 3342-5350 /98808-6862 /98822-4643 / 98710-9621 / 3342-5720 / 99958-1658","biblimartinzdeaguiar@gmail.com/
mpsilvasousa@hotmail.com /turismo@caucaia.ce.gov.br /sheylalive@hotmail.com"
"Cedro","Biblioteca Pública Municipal Cândido Acrísio da Costa","Municipal","Rua Salitre Antônio Marquês, s/n","Centro","(88) 99654-2840","aparecidaevangelista2017@hotmail.com"
"Chaval","Biblioteca Pública Municipal de Chaval","Municipal","Rua Coronel José Porfírio da Mota, s/n","Centro","(88) 98838-3751","smeduc.chaval@gmail.com"
"Choró","Biblioteca Pública Municipal Raquel de Queiroz","Municipal","Rua Coronel João Paracampos, 917","Cidade Nova","(88) 99968-8877 (88) 99349-0559","bibliotecapmracheldequeiroz@hotmail.com
bibliotecaracheldequeirozchoro@yahoo.com.br"
"Chorozinho","Biblioteca Pública Municipal Professora Lucimar Maria Albano","Municipal","Avenida Raimundo Simplício de Carvalho, 530","Centro","(85) 99193-5350 /3319-1163","fabiosantiagochorozinho@gmail.com /cultura.desporto.juventude.chorozinho@outlook.com"
"Coreaú","Biblioteca Pública Municipal de Coreaú","Municipal","Avenida Antônio Cristino de Menezes, s/n","","",""
"Crateús","Biblioteca Pública Municipal Norberto Ferreira Filho","Municipal","Avenida Francisco Sá, s/n","Centro","(85) 99624-9828 / 98783-4856 / 99902-3426","luizaaurelia1@hotmail.com /pdelimachaves@gmail.com /solangealme@yahoo.com.br"
"Crato","Biblioteca Pública Municipal Luiz Cruz","Municipal","Rua Bruno de Menezes, 334","Alto da Penha","(88) 99275-5287 / 99612-8872","
ciatosil@bol.com.br /paulofuica@hotmail.com"
"Não identificado","Biblioteca Pública Municipal do Crato","Municipal","Rua Teopisto Abath, s/n","Centro","(88) 3523-2365 /99733-3030 / 99410-3096 /99609-5498","
wildd896@gmail.com /ciatosil@bol.com.br"
"Croatá","Biblioteca Pública Municipal  de Croatá","Municipal","Rua Três de Maio, 263","Centro","(88) 99267-0123 /99278-7264","clasa10@yahoo.com.br /toninhalima2017@gmail.com"
"Não identificado","Biblioteca Pública Municipal Luiz Martins Evangelista","Municipal","Rua torcado Brás , 267","Centro","(88) 3659-1164 / (88) 9278-6040","clasa10@yahoo.com.br /toninhalima2017@gmail.com"
"Cruz","Biblioteca Pública Municipal Professora Naninha","Municipal","Rua Padre Valdery, 364","Centro","(88) 99621-9252 / 99640-2779 / 99917-9181","bibliotecapmc5@gmail.com /socorrorocha12@hotmail.com /rai_motta@hotmail.com"
"Deputado Irapuan Pinheiro","Biblioteca Pública Municipal Professora Maria Ercília Bezerra","Municipal","Rua Filomena Vieira, 180","Centro","(88) 98854-8971/98845-8043","bibliotecapublica35@hotmail.com"
"Ererê","Biblioteca Pública Municipal Maria Emília de Almeida Lima","Municipal","Rua Capitão Damião Porto, s/n","Centro","(88) 99638-5859","magalhaesmagalhaes@hotmail.com"
"Eusébio","Biblioteca Pública Municipal Patativa do Assaré","Municipal","Avenida Eusébio de Queiroz, 4600","Centro","(85) 98808-5288 / 99947-4185","leoabreucultura@gmail.com/allanekarla@gmail.com"
"Farias Brito","Biblioteca Pública Municipal Francisco Matias de Sousa","Municipal","Travessa Beija Leite, 72","Centro","(88) 99652-2121 / 99966-0117","nailsoncultura@gmail.com"
"Não identificado","Biblioteca Pública Municipal José Rodrigues da Silva “ZÉ DE MIZIN”","Municipal","Rua Francisca de Oliveira, s/n","Distrito Nova Betãnia","(88) 99652-2121 / 99966-0117","nailsoncultura@gmail.com"
"Forquilha","Biblioteca Pública Municipal Forquilha","Municipal","Avenida Criança Dante Valero","Praça Mocinha Viana","(88) 99254-4151 / 99350-4188","carlos_frota78@hotmail.com/forquilhacultura@hotmail.com"
"Fortaleza","Biblioteca Pública Municipal Dolor Barreira","Municipal","Avenida Universidade, 2272","Benfica","(85) 3105-1299 / 98787-4242","bibliotecadolor@yahoo.com.br/ eduardodsilvapereira@yahoo.com.br"
"Não identificado","Biblioteca Pública Estadual Governador Menezes Pimentel","Estadual","Avenida Presidente Castelo Branco, 255","Moura Brasil","(85) 3101-2547 / (85) 3101-6799 / 99987-7763","enide@secult.ce.gov.br /marialavor@yahoo.com.br"
"Fortim","Biblioteca Pública Municipal de Fortim","Municipal","Rua José Porfírio, s/n","Centro","(88) 3413-1058 / 99607-0919 / 99940-5899","setuctortim@hotmail.com /flaviomarceloce@yahoo.com.br "
"Frecheirinha","Biblioteca Pública Municipal Paulo VI","Municipal","Rua Antônio Custódio  s/n","Centro","(88) 99460-8394","evandroapontes@live.com/ bibliofrec@hotmail.com"
"General Sampaio","Biblioteca Pública Municipal Professora Milda Barreto Vasconcelos Marinho","Municipal","Avenida José Severino Filho , 541","Centro","(85) 98712-6940","refaelmbezerra31@hotmail.com /secult@generalsampaio.ce.gov.br"
"Graça","Biblioteca Pública Municipal de Graça","Municipal","Rua José Cândido de Carvalho","Centro","(88) 99761-5805 / 3656-1255 / 3656-1044","culturagraca@yahoo.com.br /adalberto.britolinhares43@gmail.com"
"Granja","Biblioteca Pública Municipal Lívio Barreto","Municipal","Rua Pessoa Anta, 646","Centro","(88) 99907-7605","macadais@bol.com.br"
"Granjeiro","Biblioteca Pública Municipal Pedro Félix da Cunha","Municipal","Rua Raimundo Idelfonso s/n","Centro","(88) 99271-9788/ 99297-2589","lipeezaquiel@gmail.com /delcivaniaalves@hotmail.com"
"Groaíras","Biblioteca Pública Municipal Raquel Tereza de Jesus","Municipal","Rua Antônio Ximenes Matos","Centro","(88) 98855-5246 / (88) 98884-0924","luciapaulamatos@hotmail.com"
"Guaiúba","Biblioteca Pública Municipal Eduardo Campos","Municipal","Rua Rodolfo Teófilo, 2","Centro","(85) 98524-3402 /98617-0663/ 99905-4048","
almeida_antonia@hotmail.com/ elierizafb@hotmail.com"
"Guaraciaba do Norte","Biblioteca Pública Municipal Clóvis Beviláquia","Municipal","Rua Doze de Maio, 77","Centro","(88) 3652-2349 / 99701-5455/ 99739-4278","evani.teles@hotmail.com josebastosdesousa@gmail.com"
"Guaramiranga","Biblioteca Pública Municipal Rui Barbosa","Municipal","Rua Joaquim Alves Nogueira, s/n","Centro","(85) 99987-9738 / 98681-9570","nildeferreira2@gmail.com flavio.gildo@gmail.com"
"Hidrolândia","Biblioteca Pública Municipal de Hidrolândia","Municipal","Rua Tenente Hermogenes Tomaz de Aquino","Centro","(88) 99831-6075 /  99283-2677 / 99695-2820 / 99927-2311","secretariadecultura2018@hotmail.com"
"Horizonte","Biblioteca Pública Municipal Waldemar Gonçalves de Sousa","Municipal","Rua Baturité,1943","Zumbi","(85) 98894-9474 / (85) 99997-2395","cultura@horizonte.ce.gov.br /vania_dutra@yahoo.com.br/ msuelyqueiroz@gmail.com"
"Ibaretama","Biblioteca Pública Municipal Vereador Francisco Rodrigues Sobrinho","Municipal","Avenida Vereador Armando de Queiroz","Centro","(88) 99411-0082 / 99375-1893","meirysmrh@gmail.com educacao@ibaretama.ce.gov.br"
"Ibiapina","Biblioteca Pública Municipal Cônego Alfredo S. E Silva","Municipal","Rua Pedro Aragão","Centro","(88) 99907-3868 / (88) 99400-1120","atagannmoreira@hotmail.com/ inesn44@hotmail.com"
"Ibicuitinga","Biblioteca Pública Municipal Salvelina Odília da Cunha","Municipal","Rua João Paulo Rabelo,1808 s/n","Centro","(88) 99213-3446","nobrer519@gmail.com/ ritadecassia234@icloud.com/ educacao@ibicuitinga.ce.gov.br"
"Icapuí","Biblioteca Pública Municipal Doutor Orlando Rebouças","Municipal","Rua Teotônio Alcântara, s/n","Centro","(88) 99210-5341 / 99612-4947 /  98753-6992 /99661-2873","juniorcacto@yahoo.com.br/
Vanessacamilo.rn@gmail.com /satierf.erija@bol.com.br"
"Icó","Biblioteca Pública Municipal Plínio Albuquerque Pequeno","Municipal","Rua Doutor Inácio Dias, s/n","Centro","(88) 99634-6097 / 99663-1077 /99973-6856","sarahraquel-ico@hotmail.com /anaclaudiaricarte08@gmail.com/
andrea.ruth@hotmail.com"
"Iguatu","Biblioteca Pública Municipal Distrito José de Alencar","Municipal","Rua Francisco Holanda Montenegro, s/n","","(88) 99926-3020 /99726-1481","luciafelipesctiguatu@gmail.com /anacristina.lucio@yahoo.com.br"
"Não identificado","Biblioteca Pública Municipal Doutor  Matos Peixoto","Municipal","Rua Doutor João Pessoa, s/n","","(88) 99926-3020 /99726-1481","luciafelipesctiguatu@gmail.com /anacristina.lucio@yahoo.com.br"
"Independência","Biblioteca Pública Municipal Zacarias de Sousa Martins","Municipal","Rua do Cruzeiro, 164","Centro","(88) 3675-1312 / 99711-9625","francilurdesvieira@bol.com.br"
"Ipaporanga","Biblioteca Pública Municipal William Rogério de Oliveira","Municipal","Rua João do Carmo, 23","Centro","(88) 99904-3198","ipapoteca2013@yahoo.com.br /elivelson27@gmail.com"
"Ipaumirim","Biblioteca Pública Municipal Maria Zenira Gonçalves Gomes","Municipal","Avenida Argemiro Felizardo","Centro","(88) 99700-3037 /99736-9200 /3567-1525","walterbrasil207@gmail.com/ admipaumirim@gmail.com"
"Ipu","Biblioteca Pública Municipal Maria da Conceição Guilherme Martins","Municipal","Praça Major Quixadá, s/n","Centro","(88) 99691-3232/ 99679-0001","gabinete@ipu.ce.gov.br"
"Ipueiras","Biblioteca Pública Municipal Bartolomeu José Gomes","Municipal","Rua Monsenhor Dantas, 73","Centro","(88) 3685-1785 / 98104-2012","milla.aragao@hotmail.com /seducips@hotmail.com"
"Iracema","Biblioteca Pública Municipal Maria de Oliveira Filgueira","Municipal","João Batista s/n","Centro","(88) 99967-4275","ary_diogenes@hotmail.com"
"Irauçuba","Biblioteca Pública Municipal Professor Clerdônio Ávila","Municipal","Avenida Paulo Bastos, 726","Centro","(88) 99403-6668","juventude@iraucuba.ce.gov.br"
"Itaiçaba","Biblioteca Pública Municipal Professor Pedro Ivo Calíope de Araújo","Municipal","Rua Coronel João Batista, 87","Centro","(88) 99314-4733 / 99223-5440","marciliagsn@yahoo.com.br /franciscorafael2017@yahoo.com.br"
"Itaitinga","Biblioteca Pública Municipal José Soares Cavalcante","Municipal","Rua Dr. Manoel Sátiro, 86","Parque Genezaré","(85) 98765-8213 / 98711-7978 /98706-5257","cicerogoncalo@yahoo.com.br/ werlianabruno@gmail.com /magnagadelha@hotmail.com/ 
cultura@itaitinga.ce.gov.br"
"Não identificado","Biblioteca Pública Municipal Marcos Riviere","Municipal","Rua Rodolfo Pereira Cavalcante, 245","Centro","(85) 98765-8213 / 98711-7978/98706-5257","magnagadelha@hotmail.com/
cicerogoncalo@yahoo.com.br /werlianabruno@gmail.com"
"Itapagé","Biblioteca Pública Municipal Aristóteles Alves Carneiro","Municipal","Rua Fausto Pinheiro, s/n","Bela Vista","(85) 99223-9348 /99159-0951 /99135-8833","giseleduart07@gmail.com 
airesfilho@hotmail.com"
"Itapipoca","Biblioteca Pública Municipal Professora Rita Aguiar Barbosa","Municipal","Rua Dom Aureliano Matos, s/n","Centro","(88) 99666-4545/ 98788-1912 /99659-8468","ascui2016@gmail.com /estellabarroso2017@gmail.com/ ginamarcia11@bol.com.br"
"Itapiúna","Biblioteca Pública Municipal de Itapiúna","Municipal","Rua Coronel João Viana, 83","Centro","(88) 99855-6235/98105-7290","hudsonmenezes15@gmail.com
"
"Itarema","Biblioteca Pública Municipal Rita Nilce de Vasconcelos Amorim","Municipal","Avenida Rios, s/n","Centro","(88) 99602-6446","louropessoa@gmail.com"
"Itatira","Biblioteca Pública Municipal Hermenegildo Guerra","Municipal","Rua Trajano Honorato, s/n","Lagoa do Mato","(88) 98103-8079/99644-4830/98107-3919/3436-1078","miltadias@gmail.com/ bibliotecamhg1974@gmail.com /eronilda_alvesamiga@hotmail.com"
"Não identificado","Biblioteca Pública Municipal Antônio Barbosa da Silva","Municipal","Antônio Alves Guerra,s/n","Centro","(88)  98103-8079 /99644-4830 / 98107-3919 / 3436-1078","aarrudadefreitas@yahoo.com.br"
"Jaguaretama","Biblioteca Pública Municipal Maria Doralice de Almeida","Municipal","Avenida Marilândia, 85","Centro","(88) 98110-0663 /98114-2660 /99666-3990","barbararodriguespt@hotmail.com /marcianajaguaretama@hotmail.com"
"Jaguaribara","Biblioteca Pública Municipal Adelina Nogueira Neta","Municipal","Rua Tertuliano de Melo, 142","Centro","(88) 99999-1206","sou.mariane@hotmail.com
"
"Jaguaribe","Biblioteca Pública Municipal Professor  Mariano","Municipal","Praça Senador Fernandes Távora, s/n","Centro","(88) 99957-8456","michelsen@jaguaribe.ce.gov.br
"
"Jaguaruana","Biblioteca Pública Municipal Aldenora Amélia Silva Oliveira","Municipal","Avenida Cel. Antônio José de Freitas, 13","Centro","(85) 98944-5116 /99332-7837 /99784-3827 / 99443-4647","bibliotecajaguaruana@gmail.com /carolviana16@hotmail.com/ luizfernandolaysa@gmail.com "
"Jardim","Biblioteca Pública Municipal Professora Adelzira Neves da Luz","Municipal","Rua Dr. José Vieira s/n","Centro","(88) 98101-1006 / 98121-2103","dearoriz66@gmail.com"
"Jati","Biblioteca Pública Municipal Ednacé Pereira Vidal Salvi","Municipal","Rua Sabino Pereira, 57","Centro","(88) 98819-7674 /98828-0042/98879-4181","mmmgracas@hotmail.com /smejati22@gmail.com"
"Jijoca de Jericoacoara","Biblioteca Pública Municipal José de Alencar","Municipal","Rua Vereador Esmerino Arruda, s/n","Centro","(85) 99820-2531 /99976-5197 /98877-6083","tonythiago@hotmail.com /genilzajijoca@hotmail.com"
"Juazeiro do Norte","Biblioteca Pública Municipal Possidônio da Silva Bem","Municipal","Rua Santo Agostinho, s/n","Centro","(88) 99659-385/ 99312-9288","analiviaufc@gmail.com"
"Jucás","Biblioteca Pública Municipal Ormecinda Correia Leite","Municipal","Rua Honor Lima, 111","Centro","(88) 3517-1569 /99987-2469","marquesaurelio@uol.com.br/ kakacosta.abraao@gmail.com"
"Lavras da Mangabeira","Biblioteca Pública Municipal Professor Jorge Banhos Bezerra","Municipal","Rua Dra. Hilda Augusta, 49","Centro","(88) 3536-1274","damasceno_marcos@hotmail.com /barbarelamont@yahoo.com.br"
"Limoeiro do Norte","Biblioteca Pública Municipal Doutor João Eduardo Neto","Municipal","Rua Coronel Serafim Chaves, 355","Centro","(85) 98584-8400 /99634-1150 /99987-3901","renatoremigio@yahoo.com.br /davieducadorfisico@gmail.com /marialiduina6429@gmail.com

"
"Madalena","Biblioteca Pública Municipal Professor Antônio Serafim Filho","Municipal","Rua Maria de Lourdes Bezerra Costa","São José","(88) 99345-3597 /99249-2726 ","juscelinosenhorjesus@hotmail.com /rosy.anne.18@hotmail.com"
"Maracanaú","Biblioteca Pública Municipal João Pereira de Andrade","Municipal","Avenida Miguel Paiva, s/n","Centro","(85) 3521-5018 / 3521-5110","gersoncecchini@ig.com.br /oliveirabartolomeu@yahoo.com.br /prefeito@maracanau.ce.gov.br"
"Maranguape","Biblioteca Pública Municipal Capistrano de Abreu","Municipal","Rua Major Agostinho, 490","Centro","(85) 99635-2518 /98790-1171 /99228-7870","
Angelaabreu.gui@gmail.com /soll.costa@hotmail.com /luciano_girao@hotmail.com"
"Marco","Biblioteca Pública Municipal Maria Zely Rios","Municipal","Avenida Prefeito Guido Osterno","Centro","(88) 99835-0033/ 99932-3970","edineilasilveira@gmail.com /ieryosternorios@hotmail.com"
"Martinópole","Biblioteca Pública Municipal Maria barros Almada","Municipal","Avenida Capitão, s/n","Centro","(88) 98809-4437 /98815-5084","dricaxf@gmail.com /mangel@hotmail.com  "
"Massapê","Biblioteca Pública Municipal de Massapê","Municipal","Rua Manassés Pontes, s/n","Centro","(88) 3643-1403/ 99962-0976","secretariaculturamassape@gmail.com"
"Mauriti","Biblioteca Pública Municipal Antônio Siqueira Dodou","Municipal","Rua Capitão Miguel Dantas , 581","Centro","(88) 98108-2177/ 99994-0135","divansdesousa@gmail.com /mauriti.scult@gmail.com"
"Meruoca","Biblioteca Pública Municipal João Paulo II","Municipal","Rua São José, 44","Centro","",""
"Milagres","Biblioteca Pública Municipal Padre Aldemir Queiroz","Municipal","Rua Jaime Henrique Eugênio Neto, 4","Centro","(88) 99203-8890 ","secultmilagres@hotmail.com /malu1104@yahoo.com.br"
"Milhã","Biblioteca Pública Municipal Edgláucia Bezerra Pinheiro","Municipal","Rua Prefeito Azimiro de Oliveira, s/n","Centro","(88) 99601-2430 / 99714-5956","rivandolima2009@hotmail.com/ zenildo.milha@hotmail.com"
"Miraíma","Biblioteca Pública Municipal Jorge Amado","Municipal","Avenida Migueira Braga, 443","Centro","(88) 99412-1471","ciceroaraujo100@gmail.com
"
"Missão Velha","Biblioteca Pública Municipal Professora Maria Nelse Silva","Municipal","Avenida Brasília, s/n","Centro","(88) 99965-6511 / 99698-4304","cultura@missaovelha.ce.gov.br"
"Mombaça","Biblioteca Pública Municipal Augusto Tavares de Sá Benevides","Municipal","Rua José Frutuoso Sá Benevides, 58","Centro","(88) 99825-8089 /99965-2495","neywerbson@hotmail.com /iratpaulino@gmail.com/ iracildateixeira@hotmail.com"
"Monsenhor Tabosa","Biblioteca Pública Municipal Professora Maria Estela Castro e Silva","Municipal","Avenida Plínio Leitão  02","Centro","(88) 99619-3840 / (88) 99635-9724","teka-potyguara@hotmail.com /sibacorreia@hotmail.com"
"Morada Nova","Biblioteca Pública Municipal Professor Anacleto","Municipal","Cel. José Epifânio, 61","Centro","(88) 99229-5213","edilsonsantiagox@hotmail.com"
"Moraújo","Biblioteca Pública Municipal de Moraújo","Municipal","Avenida Prefeito Raimundo Benício","Centro","(88) 99233-9334 / (88) 99429-4319","gerva1799carvalho@bol.com.br /monicanas@hotmail.com"
"Morrinhos","Biblioteca Pública Municipal Professora Maria José Vasconcelos","Municipal","Rua Joaquim Coriolano, s/n","Centro","(85) 99630-3443 /99642-7560","deaelisinha@yahoo.com.br /elicioabreu@gmail.com "
"Mucambo","Biblioteca Pública Municipal Joaquim de Castro","Municipal","Rua José Cláudio de Araújo, s/n","Centro","(88) 99307-8175 /99445-8366","gilmarcarqueijo@gmail.com"
"Mulungu","Biblioteca Pública Municipal José Freire de Freitas","Municipal","Rua Santa Inês s/n","Centro","(85) 99729-2707 /99186-6877","radialista_netorodrigues@hotmail.com"
"Nova Olinda","Biblioteca Pública Municipal Laurênio Brito Alencar Alves","Municipal","Rua 15 de Novembro, 42","Centro","(88) 99687-4303","pmnotesoraria@gmail.com
"
"Nova Russas","Biblioteca Pública Municipal Professor Odilon Evangelista Azevedo","Municipal","Avenida Antônio Joaquim de Sousa, 1269","Centro","(88) 99905-5779 / (88) 99813-1643","lucidiapedroza@hotmail.com"
