"MUNICÍPIO","NOME DA BIBLIOTECA","VÍNCULO","ENDEREÇO","BAIRRO","TELEFONE","E-MAIL"
"Bom Jesus","Biblioteca Pública Municipal José Joaquim Gomes","Municipal","Rua Antônio Marques, 06","Centro","",""
"Brejinho","Biblioteca Pública Municipal Professora Rita Lima Alves Silva","Municipal","Avenida Antônio Alves Pessoa, s/n","Centro","8432832408",""
"Caiçara do Norte","Biblioteca Pública Municipal de Caiçara do Norte","Municipal","","","",""
"Caiçara do Rio do Vento","Biblioteca Pública Municipal Joana Eugênia Andrade","Municipal","Rua Presidente Costa e Silva, s/n","Centro","",""
"Caicó","Biblioteca Pública Municipal Olegário Vale","Municipal","Rua Felipe Guerra, 395","Centro","",""
"Campo Grande","Biblioteca Pública Municipal de Campo Grande","Municipal","Rua João Alberto, 364","Centro","(84) 3362-2901",""
"Campo Redondo","Biblioteca Pública Municipal Manoel Pacheco da Silva","Municipal","Rua Coronel Severino Bezerra, s/n","Centro","",""
"Canguaretama","Biblioteca Pulblica Municipal Jose Benedito Ferreira","Municipal","Praça  Augusto Severo, s/n","","(84) 3241-1901","secangtama.rn@hotmail.com"
"Caraúbas","Biblioteca Pública Municipal Desembargador Luís Manoel Fernandes","Municipal","Rua Getúlio Vargas, 30","Centro","",""
"Carnaúba dos Dantas","Biblioteca Pública Municipal Donatília Dantas","Municipal","Rua José Azevedo, 65","Centro","8434792478",""
"Carnaubais","Biblioteca Pública Municipal Celina Duarte","Municipal","Rua Santa Luzia, s/n","","(84) 9609-2294","aldionesilva@yahoo.com.br"
"Ceará-Mirim","Biblioteca Pública Municipal Doutor José Pacheco Dantas","Municipal","Rua Heráclito Vilar, 881","Centro","8432740620",""
"Não identificado","Biblioteca Pública do CEU das Artes","Municipal","","","",""
"Cerro Corá","Biblioteca Pública Municipal Vivaldo Pereira","Municipal","Avenida São João Batista, 240","Centro","8434882478",""
"Coronel Ezequiel","Biblioteca Pública Municipal Câmara Cascudo","Municipal","Rua Governador Dix-Sept Rosado, 14","Centro","8432992251",""
"Coronel João Pessoa","Biblioteca Pública Municipal Doutor Severiano","Municipal","Rua Alcides Viana, s/n","Centro","",""
"Cruzeta","Biblioteca Pública Municipal Professora Terezinha de Jesus Medeiros Goes","Municipal","Avenida Doutor Sílvio Bezerra de Melo, 133","Centro","8434732415",""
"Currais Novos","Biblioteca Pública Municipal Doutor Antônio Othon Filho","Municipal","Avenida Brasil, s/n","Santa Maria Gorete","8434052733",""
"Doutor Severiano","Biblioteca Pública Municipal Rosemir Fernandes","Municipal","Rua Basílio Fernandes, 12","Centro","",""
"Encanto","Biblioteca Pública Municipal Maria Estelita de Queiroz ","Municipal","Rua Umbelino Granjeiro, 31","Novo Encanto ","(84) 3354-0003 (Recado) ","agranjeiro@yahoo.com.br "
"Equador","Biblioteca Pública Municipal Monsenhor Amâncio Ramalho","Municipal","Rua Getúlio Vargas, s/n","Centro","",""
"Espírito Santo","Biblioteca Pública Municipal Cônego Severino Bezerra","Municipal","Rua da Matriz, s/n","Centro","(84) 3249-2211",""
"Extremoz","Biblioteca Pública Municipal José Cortes Pereira","Municipal","Rua Felipe Camarão, s/n","Centro","8491511890",""
"Felipe Guerra","Biblioteca Pública Municipal Engenheiro João Batista Gurgel","Municipal","Rua José Barreto Neto, 07","Centro","(84) 3329-2212","dalvaciramalho@hotmail.com"
"Florânia","Biblioteca Pública Municipal Inácio Araújo","Municipal","Rua Antônio Pereira, 306","Centro","",""
"Francisco Dantas","Biblioteca Pública Municipal Juvina de Holanda Campos","Municipal","Rua Sérgio Dantas, 88","Centro","8433790051",""
"Frutuoso Gomes","Biblioteca Pública Municipal Tanize Carlos","Municipal","Rua Ernesto Ferreira, 226","Centro","8433940292",""
"Galinhos","Biblioteca Pública Municipal de Galinhos","Municipal","","","",""
"Goianinha","Biblioteca Pública Municipal Professora Maria Simonetti Gadelha Grilo","Municipal","Rua Vigário Antônio Montenegro, 10","Centro","8432433900",""
"Governador Dix-Sept Rosado","Biblioteca Pública Municipal Alice Dias","Municipal ","","","",""
"Grossos","Biblioteca Pública Municipal José Rufino de Souza","Municipal","Avenida Coronel Solon, 239","Centro","8488058364",""
"Guamaré","Biblioteca Pública Municipal Tereza Vieira de Melo","Municipal","Rua Luiz de Souza Miranda, s/n","Centro","","seducguamare@gmail.com"
"Ielmo Marinho","Biblioteca Pública Municipal Abílio Marinho Queiroz","Municipal","Rua José Camilo Bezerra, s/n","Centro","8491977811",""
"Ipanguaçu","Biblioteca Pública João P. Lins Caldas ","Municipal","Rua Marechal Deodoro, 59 ","Centro","(84) 3595-2262 ",""
"Ipueira","Biblioteca Pública Municipal Maria Jovina de Medeiros","Municipal","Avenida Francisco Quirino Medeiros, 311","Centro","8434240164",""
"Itajá","Biblioteca Professora Raimunda Maria Barbosa Chimbinha","Municipal","Rua Manoel Lopes, s/n","Centro","",""
"Itaú","Biblioteca Pública Municipal de Itaú ","Municipal","Rua João Alves, s/n ","Centro","(84) 3371-2222 ",""
"Jaçanã","Biblioteca Pública Municipal Professor Oton Mário de Araújo Costa","Municipal","Rua Manoel Fortunato de Medeiros, 97","Centro","",""
"Jandaíra","Biblioteca Pública Municipal de Jandaíra","Municipal","Avenida Aristófanes Fernandes, 423","Centro","8435530206",""
"Janduís","Biblioteca Pública Municipal Professor Teófilo Régis","Municipal","Rua Santa Terezinha, 19","Centro","8433660150",""
"Januário Cicco","Biblioteca Publica Municipal de Januário Cicco","Municipal","Avenida Doutor Mario Camara, 3FNS","","",""
"Japi","Biblioteca Pública Municipal Yadja Maria de Medeiros","Municipal","Rua João Nicolau dos Santos, s/n","Centro","(84) 3297-0014",""
"Jardim de Angicos","Biblioteca Pública Municipal Expedito Alves","Municipal ","","","",""
"Jardim de Piranhas","Biblioteca Pública Municipal Doutor Amaro Cavalcanti","Municipal","Avenida Plínio Saldanha, 93","Centro","8434232608",""
"Jardim do Seridó","Biblioteca Pública Municipal Rui Barbosa","Municipal","Avenida Doutor Fernandes, 262","Centro","8434722828",""
"João Câmara","Biblioteca Pública Municipal Professor Evaristo de Souza","Municipal","Praça Monsenhor Freitas, s/n","Centro","",""
"João Dias","Biblioteca Pública Municipal Adélia de Campos Lima","Municipal","Rua Padre Carlos , s/n","Centro","",""
"José da Penha","Biblioteca Pública Municipal Amélia Fernandes","Municipal","Rua Antônio Fernandes de Moura, 11","Centro","8433832298",""
"Jucurutu","Biblioteca Pública Municipal Perceval Bezerra","Municipal","Rua Professor João Bezerra, s/n","Centro","",""
"Jundiá","Biblioteca Pública Municipal de Jundiá","Municipal","Rua da matriz, 200","Centro","(84) 3285-5058",""
"Lagoa d'Anta","Biblioteca Pública Municipal Robério Cruz de Morais","Municipal","Rua Severino Guedes de Moura, s/n","Centro","",""
"Lagoa de Pedras","Biblioteca Pública Municipal Castro Alves","Municipal","Rua Coronel Francisco Tomaz, 99","Centro","8436920175",""
"Lagoa de Velhos","Biblioteca Pública Municipal Lagoa de Velhos","Municipal","Rua José Antônio Costa, 158","Centro","8436950112",""
"Lagoa Nova","Biblioteca Pública Municipal Bernadete Xavier","Municipal","Praça João Marinho Dantas, 372","Centro","",""
"Lagoa Salgada","Biblioteca Pública Municipal Izaura Guedes de Moura","Municipal","Rua Luiz Francisco de Oliveira, s/n","Centro","8488691148",""
"Lajes","Biblioteca Pública Municipal Professora Maria José Lorenzo","Municipal","Rua João Militão Martins, 36","Centro","",""
"Lajes Pintadas","Biblioteca Pública Municipal João Olinto do Nascimento","Municipal","Rua Geraldo Pegado, 48","Centro","8436910004",""
"Lucrécia","Biblioteca  Pública Municipal Maria Celeste De Freitas","Municipal","Rua Dos Poderes, 256","","(84) 3396-0178","edineideluc@hotmail.com"
"Luís Gomes","Biblioteca Pública Municipal de Luís Gomes","Municipal","","","",""
"Macaíba","Biblioteca Pública Municipal Auta de Souza","Municipal","Rua Teodomiro Garcia, s/n","Centro","8432716602",""
"Macau","Biblioteca Pública Municipal Rui Barbosa","Municipal","Rua Barão do Rio Branco, s/n","Centro","8435293741",""
"Major Sales","Biblioteca Pública Municipal Professora Ivi Malfado da Silveira","Municipal","Rua José Evangelista, 31","Centro","",""
"Marcelino Vieira","Biblioteca Municipal Professora Denise Lopes ","Municipal","Rua Coronel José Marcelino, s/n ","Centro","(84) 3385-2070 (Recado) ",""
"Martins","Biblioteca Pública Municipal de Martins","Municipal","Rua Projetada, s/n","Centro","8433912363",""
"Maxaranguape","Biblioteca Pública Municipal Professora Zenóbia Falcão","Municipal","Rua São Cristovão, s/n","Centro","",""
"Messias Targino","Biblioteca Pública Municipal Professor Eurides Sales","Municipal","Rua Valmir Targino, s/n","Centro","8433650157",""
"Montanhas","Biblioteca Pública Municipal Universitário José Alberto melo Souza","Municipal","Praça Vinte de Julho , 63","","(84) 3240-2210","clermonio10@yahoo.com.br"
"Monte Alegre","Biblioteca Pública Municipal de Monte Alegre ","Municipal","Rua Alfredo Xavier, s/n ","Centro","(84) 3276-2235 ",""
"Monte das Gameleiras","Biblioteca Pública Municipal João Belmiro de Souza","Municipal","Rua Olinto Rodrigues, s/n","Centro","",""
"Mossoró","Biblioteca Pública Municipal Ney Pontes Duarte","Municipal","Praça da Redenção Dorian Jorge Freire, 17","Centro","8433155179",""
"Natal","Biblioteca Pública Municipal Professor Esmeraldo Siqueira","Municipal","Avenida Câmara Cascudo, 1434","Centro","8432324944",""
"Não identificado","Biblioteca Pública Câmara Cascudo","Estadual","Rua Potengi, 535 ","Petrópolis","(84) 3232-9746","bpcc.rn@bol.com.br"
"Nísia Floresta","Biblioteca Pública Municipal Duque de Caxias","Municipal","Rua Doutor Antônio de Souza, s/n","Centro","8432772699",""
"Nova Cruz","Biblioteca Pública Municipal Câmara Cascudo","Municipal","Praça Barão do Rio Branco, 388","Centro","8432812295",""
"Olho-d'Água do Borges","Biblioteca Pública Municipal Professor Júlio Benedito","Municipal","Rua Raimundo Nonato de Oliveira, s/n","Centro","8433640022",""
"Ouro Branco","Biblioteca Pública Municipal Orilo Dantas de Melo","Municipal","Rua Professor Isaías, 158","Centro","8434770330",""
"Paraná","Biblioteca Pública Municipal Olavo Bilac","Municipal","Avenida Joaquim Luiz, 59","Vila Caiçara","8433815103",""
"Paraú","Biblioteca Pública Municipal Professora Josefa Cunha de Souza","Municipal","","","",""
"Parazinho","Biblioteca Pública Municipal Castro Alves","Municipal","Rua Monsenhor Freitas, 159","Centro","8436970086",""
"Parelhas","Biblioteca Pública Municipal Doutor Antônio Pereira de Macedo","Municipal","Avenida Comendador José Gomes, 20","Centro","",""
"Parnamirim","Biblioteca Pública Municipal Professor Rômulo Wanderley","Municipal","Rua Cícero Fernandes Pimenta, 1379","Centro","8436448269",""
"Passa e Fica","Biblioteca Pública Municipal Dom Matias Patrício de Macedo","Municipal","Rua João Fernandes Sobrinho, 75","Centro","8432882090",""
"Passagem","Biblioteca Pública Municipal Professora Maria das Graças Silva de Oliveira","Municipal","Rua Emília Alexandre, s/n","Centro","8432840029",""
"Patu","Biblioteca Pública Municipal de Patu","Municipal","Rua Jose Augusto, 108 ","","",""
"Pau dos Ferros","Biblioteca Pública Municipal Professor Manoel Jácome de Lima","Municipal","Avenida Independência, 1461","Centro","8433513707",""
"Pedra Grande","Biblioteca Pública Municipal Pedra Grande","Municipal","Avenida Severino Ferreira, s/n","Centro","8491928840",""
"Pedra Preta","Biblioteca Pública Municipal Miguel Antunes de Souza","Municipal","Rua Coronel José Costa Alecrim, 108","Centro","",""
"Pedro Avelino","Biblioteca Pública Municipal Professor Jose Pereira","Municipal","Rua Ernesto Da Costa, sn","","(84) 3534-2227","pmpedroavelino@hotmail.com"
"Pendências","Biblioteca Pública Municipal Manoel Rodrigues de Melo","Municipal","Rua Francisco Rodrigues, 205","Centro","",""
"Pilões","Biblioteca Pública Municipal Professora Luiza Rocha -  Rodrigues Barreto","Municipal","Rua Pedro Nonato Fernandes, s/n","Centro","8433840139",""
"Poço Branco","Biblioteca Pública Municipal Antonio Guedes de Miranda","Municipal","","","",""
"Portalegre","Biblioteca Pública Municipal de Portalegre","Municipal","Rua Manoel de Freitas, 10","Centro","8499029669",""
"Porto do Mangue","Biblioteca Pública Municipal Josuela de Almeida Ma ","Municipal"," Rua Joca de Melo, 44 ","Centro","8435260115",""
"Pureza","Biblioteca Pública Municipal de Pureza","Municipal","Rua Francisco Victor, 71","","",""
"Rafael Fernandes","Biblioteca Pública Municipal de Rafael Fernandes","Municipal","","","",""
"Rafael Godeiro","Biblioteca Pública Municipal Rafael Godeiro","Municipal","Rua Cícero de Paiva, 207","Centro","8433630119",""
"Riacho da Cruz","Biblioteca Pública Municipal de Riacho da Cruz ","Municipal","Avenida Camila de Lellis, 285 ","Centro","(84) 3321-5135 ",""
"Riacho de Santana","Biblioteca Pública Municipal de Riacho de Santana","Municipal","Rua da Paz","São João","",""
"Riachuelo","Biblioteca Pública Municipal João Basílio","Municipal","Avenida Presidente Getúlio Vargas, 547","Centro","8432690010",""
"Rio do Fogo","Biblioteca Pública Municipal de Rio de Fogo ","Municipal","Rua das Dunas, s/n","Centro","",""
"Rodolfo Fernandes","Biblioteca Pública Municipal Jacinta Queiroz Silveira","Municipal","Rua Manoel Nobre,49","Centro","(84) 3373-2216",""
"Santa Cruz","Biblioteca Pública Municipal Reinaldo Belarmino de Macêdo","Municipal","Praça Coronel Ezequiel Megelino, s/n","Centro","",""
"Santa Maria","Biblioteca Pública Francisca Gomes da Costa","Municipal","Rua Joaquim Manoel de Araujo, S/N","Centro","","bibliotecafgc@gmail.com"
"Santana do Matos","Biblioteca Pública Municipal Oscar Márcio -  Macedo","Municipal","Praça Cívica do Cinquentenário, s/n","Centro","",""
"Santana do Seridó","Biblioteca Pública Municipal Santos Dumont","Municipal","Avenida José Matias Pereira, s/n","Centro","8434760014",""
"Santo Antônio","Biblioteca Pública Municipal Chico Santeiro","Municipal","Praça Presidente Getúlio Vargas, 28","Centro","8432822465",""
"São Bento do Norte","Biblioteca Pública Municipal de São Bento do Norte","Municipal","","","",""
"São Bento do Trairí","Biblioteca Pública Municipal São Bento do Trairi","Municipal","Rua São Sebastião, s/n","Centro","",""
"São Fernando","Biblioteca Pública Municipal Juvenal Medeiros","Municipal","Rua Capitão João Florêncio, s/n","Centro","",""
"São Francisco do Oeste","Biblioteca Pública Municipal Maria Helena Araújo","Municipal","Rua Raimundo Marinho, s/n","Centro","8433780017",""
"São Gonçalo do Amarante","Biblioteca Pública Romanceira Dona Militana","Municipal","Rua Coronel Estevam Moura, 309","","(84) 3278-2382","bibliotecadonamilitana@gmail.com"
"São João do Sabugi","Biblioteca Pública Municipal Francisco Quinino de Medeiros","Municipal","Avenida Tenente Antônio de Medeiros, 221","Centro","8434252261",""
"São José de Mipibu","Biblioteca Pública Municipal Câmara Cascudo","Municipal","Rua 26 de Julho, 08","Centro","8499862889",""
"São José do Campestre","Biblioteca Pública Municipal Padre Geraldo de Almeida","Municipal","Rua Senador João Almeida Câmara, 168","Centro","(84) 3294-2220",""
"São José do Seridó","Biblioteca Pública Municipal Olindina Dantas","Municipal","Rua Elza Dantas, 226","Centro","8434782346",""
"São Miguel do Gostoso","Biblioteca Municipal Maria Nazinha Ferreira ","Municipal","Rua das Gonchas, s/n","","",""
"São Paulo do Potengi","Biblioteca Pública Municipal Juvenal Lamartine","Municipal","Rua Irmã Selma, s/n","Centro","8432514917",""
"São Pedro","Biblioteca Municipal Edmundo Mafra Cabral  ","Municipal","Rua Getúlio Vargas, s/n","","",""
"São Rafael","Biblioteca Pública Municipal Professora Davida Soares","Municipal","Avenida José Bezerra de Araújo","Centro","(88) 8807 2888/ 8729-2279",""
"São Tomé","Biblioteca Pública Municipal Pedro Pereira Araújo ","Municipal","Rua Cônego José Cabral, s/n","","(84) 3258-2562",""
"São Vicente","Biblioteca Pública Municipal Maria Antônia dos Santos","Municipal","Rua Euclides Lima de Albuquerque, 74","Centro","",""
"Senador Elói de Souza","Biblioteca Pública Municipal Professora Erneide Cunha","Municipal","Rua Dalmério Maurício, 25","Centro","8432550195",""
"Senador Georgino Avelino","Biblioteca Pública Municipal José Ribamar Martins Ribeiro","Municipal","Rua Santo Antônio, 217","Centro","",""
"Serra de São Bento","Biblioteca Pública Municipal Orminda Bezerra","Municipal","Praça Salviano Gomes Crisanto, s/n","Centro","8432890089",""
"Serra do Mel","Biblioteca Pública Municipal Wisley David da Silva","Municipal","","","",""
"Serra Negra do Norte","Biblioteca Pública Municipal Ramiro Monteiro Dantas","Municipal"," Rua Senador José Bernardo, 110 ","Centro","","anajacqueline.mariz@yahoo.com.br"
"Serrinha","Biblioteca Pública Municipal Manoel Joaquim de Souza","Municipal","Rua José Correia de Andrade, 612","Centro","8432840147",""
"Serrinha dos Pintos","Biblioteca Pública Municipal de Serrinha dos Pintos","Municipal","Rua Eugênio Costa, 72","Centro","8433980009",""
"Severiano Melo","Biblioteca Pública Municipal de Severiano Melo","Municipal","Rua 7 de Setembro, 278","Centro","8433722267",""
"Sítio Novo","Biblioteca Pública Municipal Paulo Eduardo Nunes de Carvalho","Municipal","Rua Ferreira Chicó, 64","Centro","8432520125",""
"Taboleiro Grande","Biblioteca Pública Municipal Raimunda Viana Bessa","Municipal","Rua Joaquim Pereira, s/n","Centro","8433750092",""
"Taipu","Biblioteca Pública Municipal João Eustáquio de Castro","Municipal","Rua Antônio Alves da Rocha, 325","Centro","8491193503",""
"Tangará","Biblioteca Pública Municipal de Tangará","Municipal","Rua Miguel Abdala, s/n","Centro","8499433801",""
"Tenente Ananias","Biblioteca Pública Municipal Professor José de Arimateia","Municipal","Rua José Abrantes, s/n","Novo Horizonte","",""
"Tenente Laurentino Cruz","Biblioteca Pública Municipal Padre Sinval Laurinho de Mano","Municipal","Avenida Airton Laurentino, 11","Centro","8434380198",""
"Tibau","Biblioteca Pública Municipal Professora Maria Nilda de Lima ","Municipal","Rua da Baleia, 40","","(84) 3321-1229","smedtibau@yahoo.com.br "
"Tibau do Sul","Biblioteca Publica Municipal De Tibau Do Sul","Municipal","Rua Três Poderes, 201","","(84) 3246-4126","bibliotecamtibaudosul@yahoo.com"
"Timbaúba dos Batistas","Biblioteca Pública Municipal Celerina Pereira de Brito","Municipal","Praça da Cultura Quilom Batista, s/n","Centro","",""
"Touros","Biblioteca Pública Municipal e Sala de Leitura","Municipal","Rua Prefeito Américo, s/n","Centro","8499528888",""
"Triunfo Potiguar","Biblioteca Pública Municipal Professor Francenildo Araújo","Municipal","Rua Manoel Freire, 84","Centro","",""
"Umarizal","Biblioteca Pública Municipal de Umarizal","Municipal","Avenida Gavião, 19","Graminha","",""
"Upanema","Biblioteca Pública Municipal Antônia Luzimar Aquino","Municipal","Rua Antônio Vitorino, s/n","Centro","",""
"Várzea","Biblioteca Pública Municipal Ângelo Bezerra ","Municipal","Rua José Bento, 21","Centro","","sme.varzea@yahoo.com.br"
"Venha-Ver","Biblioteca Pública Municipal Deputado Raimundo Fernandes","Municipal","Rua Amadeu José de Queiroz, s/n","Centro","",""
"Vera Cruz","Biblioteca Pública Municipal Prefeito Luciano Lopes de Freitas","Municipal","Praça do Divino Espírito Santo, 17","Centro","8432750206",""
"Viçosa","Biblioteca Pública Municipal Francisco Solano Lopes","Municipal","Rua Francisco Pinto, s/n","Centro","8433760043",""
"Vila Flor","Biblioteca Pública Municipal de Vila Flor","Municipal","Rua José Salazanho, 169 ","","",""
